0,1,2
reviews contribution,ਸਮੀਖਿਆ ਯੋਗਦਾਨ,Sameekhya Yogdaan
city where a presenter comes from,ਉਹ ਸ਼ਹਿਰ ਜਿੱਥੋਂ ਪੇਸ਼ਕਾਰ ਆਉਂਦਾ ਹੈ,shahar
write paper,ਕਾਗਜ਼ ਲਿਖੋ,khoj pattar
has name,ਨਾਮ ਹੈ,naam hai
has fax,fex ਹੈ,feks hai
activity of simulating,ਸਿਮੂਲੇਟਿੰਗ ਦੀ ਗਤੀਵਿਧੀ,anukaran di gatividhi
has currency of cost,ਲਾਗਤ ਦੀ ਮੁਦਰਾ ਹੈ,kharch di mudra hai
invited by reviewer,ਸਮੀਖਿਅਕ ਦੁਆਰਾ ਸੱਦਾ ਦਿੱਤਾ ਗਿਆ,sameekhiak dwaara sadiya gia
needs,ਲੋੜਾਂ,loṛāṅ
powerpoint presentation,ਪਾਵਰਪੁਆਇੰਟ ਪੇਸ਼ਕਾਰੀ,powerpoint peshekari
writes,ਲਿਖਦਾ ਹੈ,likhda hai
author who will receive proceedings as cd,ਲੇਖਕ ਜਿਸਨੂੰ ਸੀਡੀ ਵਜੋਂ ਕਾਰਵਾਈ ਪ੍ਰਾਪਤ ਹੋਵੇਗੀ,seedi de roop vich conference samagri praapt karne vaala lekhak
participant of conference,ਕਾਨਫਰੰਸ ਦੇ ਭਾਗੀਦਾਰ,konfrans da hissedaar
excursion,ਸੈਰ-ਸਪਾਟਾ,ekskarshan
tax,ਟੈਕਸ,taxs
organize conference,ਕਾਨਫਰੰਸ ਦਾ ਆਯੋਜਨ ਕਰੋ,konfrans da aayojan
workshop paper,ਵਰਕਸ਼ਾਪ ਪੇਪਰ,workshop paper
is member of,ਦਾ ਮੈਂਬਰ ਹੈ,mainbar hai
date of abstract submission,ਸੰਖੇਪ ਸਪੁਰਦਗੀ ਦੀ ਮਿਤੀ,amurut di taareekh da sabmishan
presenter,ਪੇਸ਼ਕਾਰ,peshekhar
submitted contribution,ਜਮ੍ਹਾਂ ਕੀਤਾ ਯੋਗਦਾਨ,Bheji Gai Yogdaan
person active at conference,ਕਾਨਫਰੰਸ ਵਿੱਚ ਸਰਗਰਮ ਵਿਅਕਤੀ,konfrans vich sargarm
conference paper date and time deadline,ਕਾਨਫਰੰਸ ਪੇਪਰ ਦੀ ਮਿਤੀ ਅਤੇ ਸਮਾਂ ਆਖਰੀ ਮਿਤੀ,kagaz di miti ate saman di darkhast di aakhri tareekh
ngo,ਐਨਜ,NGO
makes presentation,ਪੇਸ਼ਕਾਰੀ ਕਰਦਾ ਹੈ,peskari karda hai
amount of money,ਪੈਸੇ ਦੀ ਮਾਤਰਾ,paise di matara
mark conflict of interest,ਹਿੱਤ ਦੇ ਟਕਰਾਅ ਨੂੰ ਚਿੰਨ੍ਹਿਤ ਕਰੋ,hit da takrao darj karo
neutral review,ਨਿਰਪੱਖ ਸਮੀਖਿਆ,nirpak samikha
meal,ਭੋਜਨ,bhojan
house of a presenter,ਇੱਕ ਪੇਸ਼ਕਾਰ ਦਾ ਘਰ,peshekhar da ghar
conference hall,ਕਾਨਫਰੰਸ ਹਾਲ,conference hall
applicant for conference who lately paid conference fee,ਕਾਨਫਰੰਸ ਲਈ ਬਿਨੈਕਾਰ ਜਿਸਨੇ ਹਾਲ ਹੀ ਵਿੱਚ ਕਾਨਫਰੰਸ ਫੀਸ ਅਦਾ ਕੀਤੀ ਹੈ,conference fee ada keeti wala arzeedhaar
belongs to event,ਘਟਨਾ ਨਾਲ ਸਬੰਧਤ ਹੈ,Ghatna Nal Sambandhit
has bid,ਨੇ ਬੋਲੀ ਲਗਾਈ ਹੈ,boli lagai hai
write review,ਸਮੀਖਿਆ ਲਿਖੋ,sameekhya likho
registration fee for member of sigmod,ਸਿਗਮੋਡ ਦੇ ਮੈਂਬਰ ਲਈ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਫੀਸ,Sigmod member lai registration fee
speaks at time or in place,ਸਮੇਂ ਜਾਂ ਜਗ੍ਹਾ ਤੇ ਬੋਲਦਾ ਹੈ,smein jaan thaen 'te bolda hai
steering committee of conference is,ਕਾਨਫਰੰਸ ਦੀ ਸਟੀਅਰਿੰਗ ਕਮੇਟੀ ਹੈ,conference di steering committee
lcd projector,ਐਲਸੀਡੀ ਪ੍ਰੋਜੈਕਟਰ,LCD projector
is sent by,ਦੁਆਰਾ ਭੇਜਿਆ ਜਾਂਦਾ ਹੈ,dwaara bhejia gya
